# Entity Names by Domain

| Domain | Entity |
|--------|--------|
| PROJECT | project |
| PROJECT | project_delivery |
| PROJECT | project_group |
| PROJECT | project_level |
| PROJECT | project_status |
| PROJECT | project_type |
| PROJECT | resource_type |
| PROJECT | resource |
| PROJECT | activity |
| PROJECT | resource_activity |
| PROJECT | wbs_type |
| PROJECT | wbs |
| ORGANIZATION STRUCTURE | company_code |
| ORGANIZATION STRUCTURE | plant |
| ORGANIZATION STRUCTURE | storage_location |
| ORGANIZATION STRUCTURE | sales_org |
| ORGANIZATION STRUCTURE | distribution_channel |
| ORGANIZATION STRUCTURE | division |
| ORGANIZATION STRUCTURE | sales_area |
| ORGANIZATION STRUCTURE | sales_office |
| ORGANIZATION STRUCTURE | sales_group |
| ORGANIZATION STRUCTURE | purchasing_org |
| ORGANIZATION STRUCTURE | purchasing_group |
| MATERIAL | material |
| MATERIAL | material_plant |
| MATERIAL | material_accounting_data |
| MATERIAL | material_sales_data |
| MATERIAL | material_purchasing_data |
| MATERIAL | material_storage_location_data |
| MATERIAL | material_mrp_data |
| MATERIAL | material_batch |
| MATERIAL | characteristic |
| MATERIAL | unit |
| MATERIAL | purchasing_info_record |
| MATERIAL | manufacturer |
| MATERIAL | brand |
| MATERIAL | origin |
| MATERIAL | material_type |
| MATERIAL | material_group |
| MATERIAL | valuation_class |
| BUSINESS PARTNER | business_partner |
| BUSINESS PARTNER | customer |
| BUSINESS PARTNER | customer_accounting_data |
| BUSINESS PARTNER | customer_sales_data |
| BUSINESS PARTNER | vendor |
| BUSINESS PARTNER | vendor_accounting_data |
| BUSINESS PARTNER | vendor_purchasing_data |
| BUSINESS PARTNER | business_partner_group |
| BUSINESS PARTNER | customer_group |
| BUSINESS PARTNER | business_partner_bank_account |
| BUSINESS PARTNER | counterparty |
| BUSINESS PARTNER | counterparty_company_code_data |
| ACCOUNTING | coa |
| ACCOUNTING | gl_account |
| ACCOUNTING | gl_account_group |
| ACCOUNTING | cost_center |
| ACCOUNTING | profit_center |
| ACCOUNTING | internal_order |
| ACCOUNTING | skf |
| ACCOUNTING | activity_type |
| ACCOUNTING | tax_code |
| ACCOUNTING | tax_classification |
| ACCOUNTING | tax_category |
| ACCOUNTING | payment_term |
| ACCOUNTING | payment_method |
| ACCOUNTING | planning_level |
| ACCOUNTING | planning_group |
| ACCOUNTING | currency |
| ACCOUNTING | document_type |
| ACCOUNTING | house_bank |
| ACCOUNTING | account_bank |
| ACCOUNTING | bank_key |
| HUMAN RESOURCE | employee |
| HUMAN RESOURCE | employee_decision |
| HUMAN RESOURCE | employee_education |
| HUMAN RESOURCE | employee-work-shift |
| HUMAN RESOURCE | employee-attendance-machine |
| HUMAN RESOURCE | employee_work_location |
| HUMAN RESOURCE | work_location |
| HUMAN RESOURCE | expense_type |
| HUMAN RESOURCE | employee_type |
| HUMAN RESOURCE | labor_status |
| HUMAN RESOURCE | job_rank |
| HUMAN RESOURCE | job_title |
| HUMAN RESOURCE | department |
| HUMAN RESOURCE | job_position |
| HUMAN RESOURCE | language |
| HUMAN RESOURCE | nationality |
| HUMAN RESOURCE | marital_status |
| HUMAN RESOURCE | bank |
| HUMAN RESOURCE | ot_type |
| HUMAN RESOURCE | major |
| HUMAN RESOURCE | specialization |
| HUMAN RESOURCE | school |
| HUMAN RESOURCE | education_level |
| HUMAN RESOURCE | old_ward |
| HUMAN RESOURCE | old_district |
| HUMAN RESOURCE | old_province_city |
| HUMAN RESOURCE | ward |
| HUMAN RESOURCE | province_city |
| HUMAN RESOURCE | identity_issuing_authority |
| HUMAN RESOURCE | attendance_machine |
| HUMAN RESOURCE | work_shift_group |
| HUMAN RESOURCE | work_shift |
| HUMAN RESOURCE | attendance_type |
| HUMAN RESOURCE | medical_facility |
| HUMAN RESOURCE | blood_group |
| GENERAL | country |
| MANUFACTURING | bom |
| MANUFACTURING | bom_items |
| MANUFACTURING | bom_usage |
| MANUFACTURING | work_center |
| MANUFACTURING | workshop |
| MANUFACTURING | factory |
| MANUFACTURING | routing |
| MANUFACTURING | routing_items |
| MANUFACTURING | manufacturing_type |
| MANUFACTURING | production_version_status |
| MANUFACTURING | production_version |
| MANUFACTURING | paint_type |
| MANUFACTURING | member |
| MANUFACTURING | cutting_sheet |
| MANUFACTURING | stage |
| MANUFACTURING | member_type |
| MANUFACTURING | shipment |
| MANUFACTURING | package |
| MANUFACTURING | phase_type |
| MANUFACTURING | member_category |
| MANUFACTURING | member_category_stage |
| MANUFACTURING | member_group |
| MANUFACTURING | zone |
| MANUFACTURING | phase |
| MANUFACTURING | member_status |
| MANUFACTURING | part_group |
| MANUFACTURING | part |
| MANUFACTURING | equipment |
